<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
20180925,800,1.31422,1.31478,1.31248,1.31431
20180925,900,1.31431,1.31604,1.31429,1.31571
20180925,1000,1.31572,1.31573,1.31432,1.3152
20180925,1100,1.3152,1.31729,1.31427,1.31633
20180925,1200,1.31633,1.31703,1.31483,1.31548
20180925,1300,1.31548,1.31597,1.31441,1.31499
20180925,1400,1.31494,1.31754,1.31457,1.31624
20180925,1500,1.31622,1.31675,1.31494,1.31603
20180925,1600,1.31602,1.31695,1.31581,1.31691
20180925,1700,1.31691,1.31715,1.31601,1.31643
20180925,1800,1.31643,1.31933,1.31621,1.31861
20180925,1900,1.31861,1.31892,1.31798,1.31801
20180925,2000,1.31798,1.31829,1.31778,1.31786
20180925,2100,1.31785,1.31841,1.317,1.31764
20180925,2200,1.31766,1.31832,1.31762,1.3178
20180925,2300,1.3178,1.31811,1.31769,1.31793
20180926,0,1.31793,1.31793,1.31706,1.31712
20180926,100,1.31714,1.31772,1.31706,1.31756
20180926,200,1.31757,1.31788,1.31749,1.31786
20180926,300,1.31784,1.31817,1.31779,1.31814
20180926,400,1.31818,1.31818,1.31705,1.31706
20180926,500,1.31704,1.31744,1.31665,1.31673
20180926,600,1.31673,1.31791,1.31624,1.31749
20180926,700,1.31749,1.31798,1.31523,1.3154
20180926,800,1.31541,1.3171,1.31534,1.3171
20180926,900,1.3171,1.31739,1.31584,1.3164
20180926,1000,1.31639,1.31639,1.31471,1.31474
20180926,1100,1.31475,1.31656,1.31381,1.31587
20180926,1200,1.31588,1.3178,1.3156,1.31641
20180926,1300,1.31641,1.31697,1.31515,1.31577
20180926,1400,1.31577,1.3198,1.31553,1.31847
20180926,1500,1.31846,1.31849,1.31679,1.31809
20180926,1600,1.31808,1.31811,1.31718,1.31782
20180926,1700,1.31782,1.31933,1.31774,1.31862
20180926,1800,1.31868,1.32171,1.31586,1.31817
20180926,1900,1.31816,1.31897,1.3165,1.3165
20180926,2000,1.3165,1.31707,1.31616,1.31639
20180926,2100,1.31637,1.31761,1.31604,1.31637
20180926,2200,1.31638,1.31747,1.31638,1.3172
20180926,2300,1.31722,1.3175,1.31696,1.31698
20180927,0,1.31698,1.31768,1.31684,1.31748
20180927,100,1.3175,1.31779,1.31524,1.31524
20180927,200,1.31525,1.31535,1.31412,1.31472
20180927,300,1.31472,1.31545,1.31469,1.31544
20180927,400,1.31541,1.31568,1.31455,1.31521
20180927,500,1.31522,1.31551,1.31233,1.31317
20180927,600,1.31316,1.31403,1.3123,1.31358
20180927,700,1.31358,1.31414,1.31079,1.31105
20180927,800,1.31108,1.31255,1.31082,1.3124
20180927,900,1.31242,1.31308,1.31145,1.31269
20180927,1000,1.31269,1.31456,1.31268,1.31409
20180927,1100,1.31409,1.31468,1.3126,1.314
20180927,1200,1.314,1.31635,1.31191,1.31252
20180927,1300,1.31251,1.31322,1.31169,1.31285
20180927,1400,1.31285,1.31388,1.31151,1.31158
20180927,1500,1.31159,1.31191,1.3095,1.31026
20180927,1600,1.31025,1.31108,1.31001,1.31008
20180927,1700,1.31006,1.3101,1.30912,1.30991
20180927,1800,1.30991,1.30994,1.30834,1.30881
20180927,1900,1.30879,1.30901,1.30741,1.30818
20180927,2000,1.30818,1.30818,1.30733,1.30733
20180927,2100,1.30729,1.30795,1.3072,1.3078
20180927,2200,1.3078,1.30796,1.30736,1.30752
20180927,2300,1.3075,1.30762,1.30725,1.30758
20180928,0,1.30758,1.30793,1.30747,1.30785
20180928,100,1.30785,1.3081,1.30763,1.30809
20180928,200,1.30808,1.30819,1.30772,1.30813
20180928,300,1.30813,1.30816,1.30773,1.30778
20180928,400,1.30779,1.30848,1.30748,1.30842
20180928,500,1.30841,1.30877,1.30791,1.30869
20180928,600,1.30868,1.30899,1.30679,1.30691
20180928,700,1.30694,1.30744,1.30578,1.30604
20180928,800,1.30602,1.30783,1.30333,1.30716
20180928,900,1.30714,1.30793,1.30481,1.30516
20180928,1000,1.30517,1.30544,1.30398,1.30416
20180928,1100,1.30414,1.30512,1.30351,1.3043
20180928,1200,1.3043,1.30476,1.30272,1.3038
20180928,1300,1.30382,1.30446,1.30033,1.30108
20180928,1400,1.30105,1.30432,1.30002,1.304
20180928,1500,1.304,1.30595,1.30366,1.30516
20180928,1600,1.30516,1.30603,1.30394,1.30418
20180928,1700,1.30415,1.30446,1.30369,1.30432
20180928,1800,1.30433,1.30453,1.3034,1.30401
20180928,1900,1.30401,1.30433,1.303,1.30334
20180928,2000,1.30332,1.30362,1.30274,1.30278
